review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
It is a average bike. Performance is average. Full charge goes 60 km. It is good for city riding. If you will go long distance it is problem.If you want this for local riding it is good. Actually i have bought for my wife. It writes smooth its maximum speed 25 kilometre per hour. Service is average.,Daily Commute,> 1 yr,< 5000 kms,3,4,4,,3,,4,,4,Hero Electric Optima
"Buying experience was quite satisfying. Riding experience for starting 2 months was good but suspension was not as good for little bit broken roads . Handle lock is of weak quality , braking is also low , it's body is not as durable the mudguard get off within two months . Servicing is too slow. It is good for traveling in local area .",Daily Commute,3-6 months,< 5000 kms,3,3,3,,2,,4,,4,Hero Electric Optima
This electric scooty is best for college students and official works .It is available in many colours . It can get full charge in 3-4hours and can give 80km backup. I use this scooty for college . It's look is very beautiful. The dealer sold me this and told me the necessary information and i am following the instructions given by him and it's working nice by his given instructions.Its service is very low as compared to any petrol-diesel vehicles. It's only cons is that it can't be used for long distance.,Everything,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
"Really nice to ride in it.I have it for nearly for 5 years. Electrically chargeable. Doesn't require licences to drive,doesn't require helmet but it will be safe to wear.I changed the battery twice for 2 and 1/2 years but the shop retailers suggested for only for one year.I will be a good choice to buy it.In full charge it will travel about 55km at 30km second .",Everything,> 1 yr,5000-10000 kms,4,4,4,,4,,4,,5,Hero Electric Optima
It is very smooth scooty Its eco friendly. It helped a lot in saving energy and reducing emissions it's maintenance is somewhat high but consumption is low it's average is about 12 paise per km which is very less l am happy with this scooty a lot l will recommend this to other clients also with trustworthy.,Leisure Rides,6 months-1 yr,< 5000 kms,4,4,4,,3,,3,,4,Hero Electric Optima
Hero electric optima is a good entry level electric scooter with a maximum speed of 40km/hr. Pickup is good even when 2 persons are riding on it. Gives a smooth and comfortable ride. Suspensions are goid with maximum shock absorber. This scooty can go upto 60kms in a single charge. Charging time varies between 4-5 hrs at most.I have been using it since march 2019 and have no problems yet. The bike also has less maintenance compared to other fuel bikes .The build quality is also very good. Overall i am truly satisfied with such a awesome vehicle from hero electric.,Daily Commute,> 1 yr,< 5000 kms,4,5,5,,5,,4,,4,Hero Electric Optima
I bought hero electric optima last three month ago. I like it very much.It designs so cool and riding very comfortable. I haven't any problem with this.There is no maintenance.I charge it three to four hour and use it for full day.My wife and daughter also use for marketing and tuition class etc simply it fulfill all my needs thanks.,Daily Commute,< 3 months,< 5000 kms,4,5,4,,4,,4,,4,Hero Electric Optima
"Optima model scooty very good and look very awesome. Riding experience from my friend. I had drive this vehicle hero electric optima from my friend and it is to good and amazing experience and i like its body design and good speed its speed is 40 kmph and have drum brakes and on full charge it can drive 65 km. So guys i think you may take experience of hero electric optima and it is eco -friendly vehicle.Buying experience is good, nice service.Riding very smooth and safety.I like the matte red colour, i give 5 star for all service but i give 5 star for mileage.Service are good. Affordable price , good looking.",Daily Commute,> 1 yr,> 15000 kms,5,5,5,,5,,5,,4,Hero Electric Optima
2. Riding experience from my friend. I had drive this vehicle hero electric optima from my friend and it is to good and amazing experience and i like its body design and good speed its speed is 40 kmph and have drum brakes and on full charge it can drive 65 km. So guys i think you may take experience of hero electric optima and it is eco -friendly vehicle.,Occasional Commute,Never owned,,5,5,5,,5,,5,,5,Hero Electric Optima
"Only problem which i faced with this scooty is mileage, as it runs only 30-40 km however company has claimed for 60km. If company can look into this and get it resolved, it will be super bike, people really liking this one, when i on road and they as the details of the same. Only constraint is mileage.Looks are awesome, no one can tell by looking that its a electric bike.",Occasional Commute,< 3 months,< 5000 kms,3,5,3,,4,,4,,4,Hero Electric Optima
"Do not buy e-scooty , otherwise you will suffer . I am writing this review after using middle of 2016 . Worst battery service . Stock battery dies within 1 year and 2 months . I did not use 8 months thereafter . Then I installed new set of battery middle of 2018 and wished this time more careful about battery than before . But what a bog mistake . Now again I am suffering . New battery dies again within 1 year only . Let me clear that I am very careful about battery . I never charged it to the load of 100% . I always charged less than 100% . I never loaded my scooty to much because I was fearful about over-load damage . I always discharged it fully before charge again . And every time I gave at least 1 hour rest , before and after charging . But still it depressed me .",Daily Commute,> 1 yr,> 15000 kms,1,3,1,,1,,4,,1,Hero Electric Optima
"I really excited to purchase this e-bike... Hero optima is one of my best choice in e-bike so i would like to buy this very soon..Much better than other options in e-bike... i suggest all who want some good ride with best experience, you will definitely have a good option in ev. money saving and environmental product....",Daily Commute,Never owned,,5,4,5,,4,,5,,5,Hero Electric Optima
"I had electric optima la battery model earlier also., again i bought optima with li battery model., riding experience is good as earlier - smooth running without any noise . Amazing style - looks pretty , but the thing which i dislike the structure made with fibre - may not resist prolong . Somehow it is better then earlier. With li battery vehicle goes hike in price - at this price tag that should be insured , company must look after in this matter for those who have purchased scooty too. I had brought yesterday evening on 13th june , hope it will be again better - hopefully some more better experience for me and kids too , as i purchased low speed scooty. Must provided with insurance facility.",Daily Commute,< 3 months,< 5000 kms,3,4,,,,,4,,4,Hero Electric Optima
Nice work on a scooty then feeling in very comfortable ride on scooty on low maintenance dependable for ride so working on scooty then battery charged fast running on this new condition then work on scooty 45 km running on scooty my parents very happy on scooty running then comfortable scooty then comfortable break.,Tours,Never owned,,5,5,4,,5,,5,,5,Hero Electric Optima
"Product is good. But service is measurable. My under warranty battery taken by dealer for replacement >15 days. Still no one knows the status. Service manager, dealer customer service dept all in dark. No job sheet is there. Hence i can't even go to court.The vehicle is good. It used to provide mileage of 50. But after 10th month mileage reduced. In 11th month i approached co for battery replacement.",Daily Commute,6 months-1 yr,< 5000 kms,4,5,3,,1,,3,,4,Hero Electric Optima
I have an hero electric optima since one year and I am very happy with the performance according other electric scooter and the look of this is very good anyone not judge that this is electric or petrol scooter this have no service and maintenance cost with the performance I am very happy thank hero.,Everything,> 1 yr,> 15000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
I like the alloy rims on the tires and it is good looking and i love to ride the vehicle it's superb to ride it and i changed the tyres to tubeless and i put anti theft on it and handle bar light now it look like awesome and you gays to check it ok and buy a e bike from hero you gays will love it i promise gays and it is fantastic.,Everything,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
